id,name,team,position,value
233652,Bernardo Matić,HNK Šibenik,D,290000
862119,Martin Pajić,HNK Šibenik,D,550000
947899,Lovre Rogić,HNK Šibenik,G,360000
319181,Stefan Perić,HNK Šibenik,D,375000
44679,Duje Čop,HNK Šibenik,F,460000
1116585,Yordy Bedoya,HNK Šibenik,M,49000
879392,Juan Mesa,HNK Šibenik,M,145000
863210,Matija Rom,HNK Šibenik,D,370000
985411,Mislav Matić,HNK Šibenik,M,310000
1069789,Bruno Šupe,NK Zagora Unešić,M,0
330939,Burgui,HNK Šibenik,M,725000
954020,Antonio Đaković,HNK Šibenik,G,145000
1132177,Haruki Arai,HNK Šibenik,M,72000
1098198,Marcos Mina,HNK Šibenik,D,340000
1048837,Niko Rak,HNK Šibenik,M,1400000
37449,Patrick Salomon,HNK Šibenik,M,290000
338495,Marcel Čanadi,HNK Šibenik,M,145000
966477,Ivica Batarelo,HNK Šibenik,D,340000
1134410,Ivica Vidović,HNK Šibenik,M,11000
848540,Karlo Bilić,HNK Šibenik,D,360000
897602,Dino Skorup,HNK Šibenik,M,52000
1157903,Viktor Damjanić,HNK Šibenik U19,D,315000
1185623,Alexandre Klopp,HNK Šibenik,D,0
57989,Josip Kvesić,HNK Šibenik,D,230000
1158217,Karlo Špeljak,HNK Šibenik,M,0
880743,Leon Kreković,HNK Šibenik,F,210000
932608,Ivan Dolček,HNK Šibenik,D,270000
897600,Mario Ćurić,Torpedo Moscow,M,785000
1114196,Cristhian Mena,HNK Šibenik,M,46000
994219,Nace Koprivnik,HNK Šibenik,M,77000
797920,Suad Sahiti,HNK Šibenik,M,315000
822505,Ivan Delić,HNK Šibenik,F,535000
941076,Sacha Marasović,HNK Šibenik,M,260000
190419,Dominik Livaković,GNK Dinamo Zagreb,G,10300000
309306,Bruno Petković,GNK Dinamo Zagreb,F,8400000
879722,Antonio Marin,GNK Dinamo Zagreb,F,970000
243713,Josip Mišić,GNK Dinamo Zagreb,M,2200000
44225,Kévin Théophile-Catherine,GNK Dinamo Zagreb,D,3300000
1120017,Gabrijel Rukavina,GNK Dinamo Zagreb,F,0
51168,Arijan Ademi,GNK Dinamo Zagreb,M,7300000
1090019,Martin Baturina,GNK Dinamo Zagreb,M,920000
73146,Stefan Ristovski,GNK Dinamo Zagreb,D,1800000
286917,Dino Perić,GNK Dinamo Zagreb,D,4400000
358598,Petar Bočkaj,GNK Dinamo Zagreb,D,2300000
942081,Daniel Štefulj,GNK Dinamo Zagreb,D,950000
935308,Robert Ljubičić,GNK Dinamo Zagreb,M,1400000
359358,Sadegh Moharrami,GNK Dinamo Zagreb,D,1400000
286071,Mahir Emreli,GNK Dinamo Zagreb,F,2100000
814889,Marko Đira,GNK Dinamo Zagreb,M,565000
1062968,Maro Katinić,GNK Dinamo Zagreb,D,320000
795169,Luka Menalo,GNK Dinamo Zagreb,F,2600000
826024,Dario Špikić,GNK Dinamo Zagreb,M,1500000
66171,Emir Dilaver,GNK Dinamo Zagreb,D,775000
65485,Danijel Zagorac,GNK Dinamo Zagreb,G,420000
357582,Ivan Nevistić,GNK Dinamo Zagreb,G,3200000
822462,Luka Ivanušec,GNK Dinamo Zagreb,M,14700000
954836,Josip Šutalo,GNK Dinamo Zagreb,D,3800000
795235,Rasmus Lauritsen,GNK Dinamo Zagreb,D,5200000
942992,Boško Šutalo,GNK Dinamo Zagreb,D,3100000
88645,Mislav Oršić,GNK Dinamo Zagreb,M,10600000
107025,Josip Drmić,GNK Dinamo Zagreb,F,2400000
905063,Marko Bulat,GNK Dinamo Zagreb,M,3100000
789119,Marko Martinaga,NK Slaven Belupo,D,275000
1063348,Gabriel Eskinja,NK Slaven Belupo,D,0
1163474,Ante Vuković,NK Slaven Belupo U19,G,0
314336,Benedik Mioč,NK Slaven Belupo,M,375000
830962,Marko Žuljević,NK Slaven Belupo,M,0
978294,Jakov Bašić,NK Slaven Belupo,M,260000
1014718,Arb Manaj,NK Slaven Belupo,F,490000
890663,Arber Hoxha,NK Slaven Belupo,F,260000
51188,Ivan Čović,NK Slaven Belupo,G,92000
921539,Ivan Sušak,NK Slaven Belupo,G,94000
1063394,Mateo Kocijan,NK Slaven Belupo,D,54000
110436,Mario Marina,NK Slaven Belupo,M,270000
922198,Giannis Christopoulos,NK Slaven Belupo,D,270000
845373,Antonio Bosec,NK Slaven Belupo,D,425000
51242,Ivan Krstanović,NK Slaven Belupo,F,155000
880740,Filip Hlevnjak,NK Slaven Belupo,D,46000
1064015,Novak Tepšić,NK Slaven Belupo,D,110000
913907,Talys,NK Slaven Belupo,D,210000
1394395,Ante Vuković,NK Slaven Belupo,M,0
780366,Nikola Jambor,NK Slaven Belupo,M,310000
931115,Seid Behram,NK Slaven Belupo,F,0
138543,Matthias Fanimo,NK Slaven Belupo,F,290000
982437,Ikouwem Udo Utin,NK Slaven Belupo,D,105000
255141,Antun Marković,NK Slaven Belupo,G,55000
965020,Luka Branšteter,NK Slaven Belupo,F,390000
117692,Zoran Kvržić,NK Slaven Belupo,M,310000
814879,Vinko Soldo,NK Slaven Belupo,D,140000
855908,Bruno Goda,NK Slaven Belupo,D,605000
905493,Gonzalo Gamarra,NK Slaven Belupo,D,165000
1065156,Marco Boras,NK Slaven Belupo,D,135000
852471,Bruno Bogojević,NK Slaven Belupo,M,495000
884871,Mihail Caimacov,Torpedo Moscow,M,230000
55359,Tomislav Božić,NK Slaven Belupo,D,105000
1133182,Josip Mihalić,NK Slaven Belupo,M,0
1090027,Ante Crnac,NK Slaven Belupo,F,230000
920026,Matko Zirdum,NK Slaven Belupo,D,310000
770399,Robert Mudražija,NK Slaven Belupo,M,380000
905379,Diego Barri,NK Osijek,M,285000
959592,Adrian Leon Barišić,NK Osijek,D,290000
551406,Antonio Mance,NK Osijek,F,545000
797775,Amer Hiroš,NK Osijek,M,935000
1005613,Ognjen Bakić,NK Osijek,M,0
359802,Karlo Bartolec,NK Osijek,D,910000
844594,Yevgen Cheberko,NK Osijek,D,820000
555538,Mario Jurčevič,NK Osijek,D,645000
173675,Slavko Bralić,NK Osijek,D,640000
37433,Marin Leovac,NK Osijek,D,260000
995773,Dion Drena Beljo,NK Osijek,F,1400000
149673,Marko Malenica,NK Osijek,G,525000
836200,Ramón Miérez,NK Osijek,F,4300000
66209,Mihret Topčagić,NK Osijek,F,155000
152402,Šime Gržan,NK Osijek,M,415000
136718,Petar Brlek,NK Osijek,M,515000
51223,Vedran Jugović,NK Osijek,M,240000
359044,Kristijan Lovrić,NK Osijek,M,4600000
283855,Ivan Fiolić,NK Osijek,M,890000
1005606,Nikola Janjić,NK Osijek,D,95000
843676,Marko Barešić,NK Osijek II,G,48000
839916,Mihael Žaper,NK Osijek,M,2700000
1068833,Uwem Alexander,NK Osijek II,D,160000
190417,Ivica Ivušić,NK Osijek,G,3600000
875633,Danijel Lončar,NK Osijek,D,1000000
134877,László Kleinheisler,NK Osijek,M,2400000
357600,Josip Špoljarić,NK Osijek,F,260000
70172,Mile Škorić,NK Osijek,D,1700000
989335,Kristian Fućak,NK Osijek,F,440000
152887,Mijo Caktaš,NK Osijek,M,1800000
1049927,Luka Zebec,NK Osijek II,D,0
897603,Darko Nejašmić,NK Osijek,M,1300000
848380,Gabriel Lunetta,HNK Rijeka,M,235000
955133,Näis Djouahra,HNK Rijeka,M,360000
824165,Jorge Obregón,HNK Rijeka,M,970000
95138,Marco Đuričin,HNK Rijeka,F,880000
922945,Lindon Selahi,HNK Rijeka,M,1100000
202870,Matej Mitrović,HNK Rijeka,D,1100000
790134,Dávid Nwolokor,HNK Rijeka,G,95000
965025,Veldin Hodža,HNK Rijeka,M,285000
344177,Alen Grgić,HNK Rijeka,D,210000
885719,Martin Zlomislić,HNK Rijeka,G,390000
892911,Andrés Solano,HNK Rijeka,D,195000
929658,Roko Jurišić,HNK Rijeka,D,54000
1163387,Andro Babić,HNK Rijeka U19,M,0
1009626,Pablo Álvarez,HNK Rijeka,M,425000
887798,Matej Vuk,HNK Rijeka,F,775000
988321,Antoine Coupland,HNK Rijeka,M,68000
69373,Haris Vučkić,HNK Rijeka,F,600000
51321,Mateo Pavlović,HNK Rijeka,D,1100000
1046476,Damjan Pavlović,HNK Rijeka,M,365000
1050368,Filip Dujmović,HNK Rijeka,F,490000
997210,Bernard Karrica,HNK Rijeka,F,335000
1122497,Duje Dujmović,HNK Rijeka,D,9000
1091869,Karlo Valjan,NK Grobničan,M,0
1083226,Dominik Simčić,HNK Rijeka,F,46000
1048593,Denis Bušnja,HNK Rijeka,M,535000
1004393,Nikita Vlasenko,HNK Rijeka,D,330000
974581,Ivan Smolčić,HNK Rijeka,D,55000
277331,Alen Halilović,HNK Rijeka,M,450000
1092081,Matija Frigan,HNK Rijeka,F,600000
905506,Djibrilla Ibrahim,HNK Rijeka,D,52000
887799,Ivan Lepinjica,Arminia Bielefeld,M,390000
1086357,Mislav Zadro,HNK Rijeka,G,270000
280737,Andrija Vukčević,HNK Rijeka,D,715000
1163389,Antonio Galešić,NK Grobničan,D,0
1144398,Marino Kukoč,HNK Rijeka U19,M,0
947986,Nediljko Labrović,HNK Rijeka,G,620000
1124585,Admir Bristrić,HNK Rijeka,M,0
1163409,Niko Gajzler,HNK Rijeka U19,F,0
1031476,Niko Galešić,HNK Rijeka,D,105000
964991,Filip Braut,HNK Rijeka,D,315000
15823,Mario Vrančić,HNK Rijeka,M,1100000
943211,Adrian Liber,HNK Rijeka,M,360000
923888,Prince Ampem,HNK Rijeka,M,1000000
283849,Anton Krešić,HNK Rijeka,D,570000
316443,Mikhail Merkulov,HNK Rijeka,D,485000
842086,Demir Peco,NK Varaždin,M,53000
1175151,Vito Težak,NK Varaždin,M,0
1050122,Lovro Banovec,NK Varaždin,M,165000
957630,Luka Jelenić,NK Varaždin,D,155000
814440,Matija Kolarić,NK Varaždin,M,145000
904669,Tonio Teklić,NK Varaždin,M,365000
1049093,Filip Brekalo,NK Varaždin,D,0
856561,Jorgo Pëllumbi,NK Varaždin,D,260000
1094067,Leon Belcar,NK Varaždin,M,110000
869708,Jozo Stanić,NK Varaždin,D,375000
921803,Marino Bulat,NK Varaždin,G,26000
283841,Fran Brodić,NK Varaždin,F,325000
995719,Agon Elezi,NK Varaždin,M,105000
979368,Karlo Perić,NK Varaždin,F,385000
84360,Božidar Radošević,NK Varaždin,G,94000
1134292,Noa Vugrinec,NK Varaždin,F,24000
851722,Leonard Vuk,NK Varaždin,F,220000
921764,Marin Pilj,NK Varaždin,M,825000
921222,Mato Stanić,NK Varaždin,M,245000
964993,Luka Škaričić,NK Varaždin,D,145000
965022,Ivan Ćubelić,NK Varaždin,M,525000
1048412,Jakov Karabatić,NK Varaždin,D,195000
804461,Itsuki Urata,NK Varaždin,D,110000
867035,Igor Postonjski,NK Varaždin,M,520000
50642,Matija Katanec,NK Varaždin,D,290000
94218,Oliver Zelenika,NK Varaždin,G,48000
931359,Andris Herrera,NK Varaždin,F,420000
886844,Ivan Posavec,NK Varaždin,M,365000
1066122,Karlo Lusavec,NK Varaždin,M,145000
880746,Michele Šego,NK Varaždin,F,825000
804617,David Puclin,NK Varaždin,M,725000
283837,Marko Stolnik,NK Varaždin,D,290000
1144321,Niko Domjanić,NK Varaždin U19,F,0
872038,Lamine Ba,NK Varaždin,D,140000
1410305,Marko Rakas,HNK Gorica,M,0
